player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Michael Pittman Jr.,IND,receiving,401772719,6,80,13.3,1,27,8
Tyler Warren,IND,receiving,401772719,7,76,10.9,0,21,9
Alec Pierce,IND,receiving,401772719,1,36,36.0,0,36,3
Jonathan Taylor,IND,receiving,401772719,3,27,9.0,0,16,3
Adonai Mitchell,IND,receiving,401772719,2,21,10.5,0,18,2
Mo Alie-Cox,IND,receiving,401772719,1,20,20.0,0,20,1
Josh Downs,IND,receiving,401772719,2,12,6.0,0,6,3
