player,team,stat_category,game_id,car,yds,avg,td,long
Kyren Williams,LAC,angeles rushing,401772723,18,66,3.7,1,9
Jordan Whittington,LAC,angeles rushing,401772723,1,5,5.0,0,5
Blake Corum,LAC,angeles rushing,401772723,1,2,2.0,0,2
Puka Nacua,LAC,angeles rushing,401772723,1,1,1.0,0,1
Matthew Stafford,LAC,angeles rushing,401772723,4,-2,-0.5,0,0
