player,team,stat_category,game_id,fg,pct,long,xp,pts
Spencer Shrader,IND,kicking,401773001,3/4,75.0,53,0/0,9
Maddux Trujillo,IND,kicking,401773001,0/0,0.0,0,1/1,1
