player,team,stat_category,game_id,car,yds,avg,td,long
Josh Jacobs,GB,bay rushing,401772722,19,66,3.5,1,15
Emanuel Wilson,GB,bay rushing,401772722,1,4,4.0,0,4
Jordan Love,GB,bay rushing,401772722,3,4,1.3,0,3
Tucker Kraft,GB,bay rushing,401772722,1,3,3.0,0,3
Chris Brooks,GB,bay rushing,401772722,1,1,1.0,0,1
