player,team,stat_category,game_id,c_att,yds,avg,td,int,sacks,rtg,
Kyle Allen,DET,passing,401772971,9/14,91,6.5,0,2,0-0,43.2,
Hendon Hooker,DET,passing,401772971,3/6,18,3.0,0,1,2-5,16.7,
