player,team,stat_category,game_id,car,yds,avg,td,long
De'Von Achane,MIA,rushing,401772719,7,55,7.9,0,26
Malik Washington,MIA,rushing,401772719,1,9,9.0,0,9
Tua Tagovailoa,MIA,rushing,401772719,1,7,7.0,0,7
Ollie Gordon II,MIA,rushing,401772719,2,4,2.0,0,3
Zach Wilson,MIA,rushing,401772719,1,3,3.0,0,3
