player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Skylar Thompson,rushing,401773002,20/28,233,8.3,3,0,1-6,132.0,,,,,,
Mason Rudolph,rushing,401773002,9/10,84,8.4,1,0,1-10,135.0,,,,,,
Lew Nichols,rushing,401773002,,31,5.2,0,,,,,6,14,,,
Kaleb Johnson,rushing,401773002,,20,2.5,0,,,,,8,7,,,
Trey Sermon,rushing,401773002,,7,2.3,0,,,,,3,6,,,
Evan Hull,rushing,401773002,,7,1.2,0,,,,,6,4,,,
Skylar Thompson,rushing,401773002,,3,3.0,0,,,,,1,3,,,
Logan Woodside,rushing,401773002,,-2,-2.0,0,,,,,1,-2,,,
D'Shawn Jamison,rushing,401773002,,89,29.7,0,,,,,,32,3,,
Trey Sermon,rushing,401773002,,26,26.0,0,,,,,,26,1,,
Ke'Shawn Williams,rushing,401773002,,17,8.5,0,,,,,,16,2,,
Cameron Johnston,rushing,401773002,,94,47.0,,,,,,,52,2,0,1
Corliss Waitman,rushing,401773002,,57,57.0,,,,,,,57,1,0,0
