player,team,stat_category,game_id,car,yds,avg,td,long
RJ Harvey,DEN,rushing,401772832,6,70,11.7,0,50
J.K. Dobbins,DEN,rushing,401772832,16,63,3.9,1,19
Bo Nix,DEN,rushing,401772832,8,18,2.3,0,11
