player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Ricky Pearsall,SF,francisco receiving,401772831,4,108,27.0,0,45,7
Christian McCaffrey,SF,francisco receiving,401772831,9,73,8.1,0,25,10
Kyle Juszczyk,SF,francisco receiving,401772831,2,32,16.0,0,25,2
George Kittle,SF,francisco receiving,401772831,4,25,6.3,1,11,4
Jauan Jennings,SF,francisco receiving,401772831,2,16,8.0,0,11,5
Jake Tonges,SF,francisco receiving,401772831,3,15,5.0,1,9,3
Luke Farrell,SF,francisco receiving,401772831,1,4,4.0,0,4,1
Brian Robinson Jr.,SF,francisco receiving,401772831,1,4,4.0,0,4,2
