player,team,stat_category,game_id,car,yds,avg,td,long
Saquon Barkley,PHI,rushing,401671880,25,119,4.8,0,17
Jalen Hurts,PHI,rushing,401671880,6,36,6.0,0,15
Kenneth Gainwell,PHI,rushing,401671880,3,14,4.7,0,6
