player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
T.J. Hockenson,MIN,receiving,401671882,5,64,12.8,1,26,5
Justin Jefferson,MIN,receiving,401671882,5,58,11.6,0,22,8
Jalen Nailor,MIN,receiving,401671882,3,33,11.0,0,14,5
Jordan Addison,MIN,receiving,401671882,3,29,9.7,0,15,8
Johnny Mundt,MIN,receiving,401671882,2,28,14.0,0,22,3
Aaron Jones Sr.,MIN,receiving,401671882,3,12,4.0,0,8,6
C.J. Ham,MIN,receiving,401671882,1,8,8.0,0,8,1
Trent Sherfield Sr.,MIN,receiving,401671882,2,8,4.0,0,7,3
Josh Oliver,MIN,receiving,401671882,1,5,5.0,0,5,1
