player,team,stat_category,game_id,car,yds,avg,td,long
James Cook,BUF,rushing,401772918,13,44,3.4,1,11
Josh Allen,BUF,rushing,401772918,14,30,2.1,2,9
Ty Johnson,BUF,rushing,401772918,2,24,12.0,0,17
Elijah Moore,BUF,rushing,401772918,1,8,8.0,0,8
Ray Davis,BUF,rushing,401772918,1,2,2.0,0,2
