player,team,stat_category,game_id,car,yds,avg,td,long
Trey Benson,ARI,rushing,401772718,8,69,8.6,0,52
James Conner,ARI,rushing,401772718,12,39,3.3,0,12
Kyler Murray,ARI,rushing,401772718,7,38,5.4,0,13
