player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Jayden Reed,GB,bay receiving,401671880,4,46,11.5,0,20,4
Josh Jacobs,GB,bay receiving,401671880,3,40,13.3,0,15,3
Dontayvion Wicks,GB,bay receiving,401671880,2,39,19.5,0,29,6
Tucker Kraft,GB,bay receiving,401671880,5,26,5.2,0,12,5
Emanuel Wilson,GB,bay receiving,401671880,1,23,23.0,0,23,3
Bo Melton,GB,bay receiving,401671880,1,16,16.0,0,16,3
Romeo Doubs,GB,bay receiving,401671880,2,13,6.5,0,7,2
Chris Brooks,GB,bay receiving,401671880,2,9,4.5,0,5,3
Malik Heath,GB,bay receiving,401671880,0,0,0.0,0,0,4
