player,team,stat_category,game_id,car,yds,avg,td,long
Javonte Williams,DAL,rushing,401772510,15,54,3.6,2,11
Miles Sanders,DAL,rushing,401772510,4,53,13.3,0,49
KaVontae Turpin,DAL,rushing,401772510,2,9,4.5,0,5
Dak Prescott,DAL,rushing,401772510,1,3,3.0,0,3
