player,team,stat_category,game_id,car,yds,avg,td,long
Breece Hall,NE,york rushing,401772721,19,107,5.6,0,18
Justin Fields,NE,york rushing,401772721,12,48,4.0,2,15
Isaiah Davis,NE,york rushing,401772721,2,18,9.0,0,15
Braelon Allen,NE,york rushing,401772721,6,9,1.5,1,8
