player,team,stat_category,game_id,fum,lost,rec
Keisean Nixon,GB,bay fumbles,401671880,1,1,0
Josh Jacobs,GB,bay fumbles,401671880,1,0,0
Sean Rhyan,GB,bay fumbles,401671880,1,0,0
Jordan Love,GB,bay fumbles,401671880,0,0,1
Tucker Kraft,GB,bay fumbles,401671880,0,0,1
