player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Calvin Ridley,receiving,401774029,3,50,16.7,0,27,3,,
Gunnar Helm,receiving,401774029,1,16,16.0,0,16,2,,
Tyjae Spears,receiving,401774029,1,13,13.0,0,13,1,,
TJ Sheffield,receiving,401774029,1,12,12.0,0,12,1,,
Bryce Oliver,receiving,401774029,1,11,11.0,0,11,2,,
Chig Okonkwo,receiving,401774029,1,10,10.0,0,10,1,,
David Martin-Robinson,receiving,401774029,1,8,8.0,0,8,2,,
Julius Chestnut,receiving,401774029,1,8,8.0,0,8,2,,
Tyler Lockett,receiving,401774029,1,7,7.0,0,7,1,,
Josh Whyle,receiving,401774029,1,7,7.0,0,7,2,,
Chimere Dike,receiving,401774029,1,6,6.0,0,6,2,,
Jordan Mims,receiving,401774029,2,5,2.5,0,6,2,,
James Proche II,receiving,401774029,0,0,0.0,0,0,1,,
Van Jefferson,receiving,401774029,0,0,0.0,0,0,1,,
Mason Kinsey,receiving,401774029,0,0,0.0,0,0,2,,
Matt Landers,receiving,401774029,0,0,0.0,0,0,1,,
Jha'Quan Jackson,receiving,401774029,0,0,0.0,0,0,1,,
Drake Dabney,receiving,401774029,0,0,0.0,0,0,1,,
Xavier Restrepo,receiving,401774029,0,0,0.0,0,0,2,,
Elic Ayomanor,receiving,401774029,0,0,0.0,0,0,2,,
Davion Ross,receiving,401774029,1,,,,,,0,0
