player,team,stat_category,game_id,car,yds,avg,td,long
Kimani Vidal,LAC,angeles rushing,401772971,9,37,4.1,2,16
Hassan Haskins,LAC,angeles rushing,401772971,6,34,5.7,0,11
Nyheim Miller-Hines,LAC,angeles rushing,401772971,8,34,4.3,0,9
Omarion Hampton,LAC,angeles rushing,401772971,2,9,4.5,0,8
Trey Lance,LAC,angeles rushing,401772971,3,8,2.7,0,5
Scott Matlock,LAC,angeles rushing,401772971,1,2,2.0,0,2
Jaret Patterson,LAC,angeles rushing,401772971,3,2,0.7,0,2
DJ Uiagalelei,LAC,angeles rushing,401772971,3,-5,-1.7,0,-1
