player,team,stat_category,game_id,car,yds,avg,td,long
Derrick Henry,BAL,rushing,401671879,26,186,7.2,2,44
Lamar Jackson,BAL,rushing,401671879,15,81,5.4,0,20
Steven Sims,BAL,rushing,401671879,1,15,15.0,0,15
Justice Hill,BAL,rushing,401671879,6,12,2.0,0,5
Mark Andrews,BAL,rushing,401671879,2,5,2.5,0,3
