player,team,stat_category,game_id,car,yds,avg,td,long
Patrick Mahomes,KC,city rushing,401772714,6,57,9.5,1,15
Isiah Pacheco,KC,city rushing,401772714,5,25,5.0,0,10
Kareem Hunt,KC,city rushing,401772714,5,16,3.2,0,6
Xavier Worthy,KC,city rushing,401772714,1,0,0.0,0,0
