player,team,stat_category,game_id,car,yds,avg,td,long
Keaton Mitchell,BAL,rushing,401773001,9,68,7.6,1,23
D'Ernest Johnson,BAL,rushing,401773001,18,57,3.2,0,11
Rasheen Ali,BAL,rushing,401773001,9,37,4.1,1,19
Devin Leary,BAL,rushing,401773001,6,15,2.5,0,6
