player,team,stat_category,game_id,fum,lost,rec
Colby Parkinson,LAC,angeles fumbles,401772723,1,1,0
Matthew Stafford,LAC,angeles fumbles,401772723,1,0,1
Braden Fiske,LAC,angeles fumbles,401772723,0,0,1
