player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Joe Burrow,rushing,401773005,9/10,123,12.3,2,0,0-0,157.5,,,,,,
Desmond Ridder,rushing,401773005,7/16,91,5.7,1,0,0-0,83.1,,,,,,
Jake Browning,rushing,401773005,6/14,62,4.4,0,1,1-8,26.5,,,,,,
Tahj Brooks,rushing,401773005,,26,2.6,0,,,,,10,5,,,
Chase Brown,rushing,401773005,,23,4.6,0,,,,,5,8,,,
Gary Brightwell,rushing,401773005,,9,3.0,0,,,,,3,5,,,
Jake Browning,rushing,401773005,,-1,-1.0,0,,,,,1,-1,,,
Joe Giles-Harris,rushing,401773005,,2,,0,1,,,,,,,,
Gary Brightwell,rushing,401773005,,93,31.0,0,,,,,,35,3,,
Isaiah Williams,rushing,401773005,,53,26.5,0,,,,,,30,2,,
Jermaine Burton,rushing,401773005,,42,21.0,0,,,,,,24,2,,
Jermaine Burton,rushing,401773005,,32,32.0,0,,,,,,32,1,,
Isaiah Williams,rushing,401773005,,16,16.0,0,,,,,,16,1,,
Ryan Rehkow,rushing,401773005,,226,45.2,,,,,,,54,5,0,2
