player,team,stat_category,game_id,no,yds,avg,long,td
Brashard Smith,KC,city kick returns,401772714,2,63,31.5,37,0
Nikko Remigio,KC,city kick returns,401772714,2,56,28.0,34,0
Tyquan Thornton,KC,city kick returns,401772714,1,28,28.0,28,0
