player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Jahan Dotson,PHI,receiving,401772510,3,59,19.7,0,51,3
Dallas Goedert,PHI,receiving,401772510,7,44,6.3,0,9,7
Saquon Barkley,PHI,receiving,401772510,4,24,6.0,0,8,5
DeVonta Smith,PHI,receiving,401772510,3,16,5.3,0,7,3
A.J. Brown,PHI,receiving,401772510,1,8,8.0,0,8,1
Kylen Granson,PHI,receiving,401772510,1,1,1.0,0,1,1
