player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Aidan O'Connell,rushing,401774568,18/30,205,6.8,1,2,0-0,63.9,,,,,,
Cam Miller,rushing,401774568,6/7,76,10.9,1,0,1-8,151.5,,,,,,
Geno Smith,rushing,401774568,1/3,15,5.0,0,0,0-0,50.7,,,,,,
Chris Collier,rushing,401774568,,42,4.7,0,,,,,9,16,,,
Dylan Laube,rushing,401774568,,34,6.8,0,,,,,5,24,,,
Raheem Mostert,rushing,401774568,,11,11.0,0,,,,,1,11,,,
Sincere McCormick,rushing,401774568,,11,3.7,0,,,,,3,5,,,
Cam Miller,rushing,401774568,,4,4.0,0,,,,,1,4,,,
Zamir White,rushing,401774568,,2,1.0,0,,,,,2,2,,,
Aidan O'Connell,rushing,401774568,,1,0.5,0,,,,,2,1,,,
Ashton Jeanty,rushing,401774568,,-1,-0.3,0,,,,,3,3,,,
Isaiah Pola-Mao,rushing,401774568,,0,,0,1,,,,,,,,
Zamir White,rushing,401774568,,35,35.0,0,,,,,,35,1,,
Sincere McCormick,rushing,401774568,,26,26.0,0,,,,,,26,1,,
Dylan Laube,rushing,401774568,,20,10.0,0,,,,,,10,2,,
AJ Cole,rushing,401774568,,83,41.5,,,,,,,52,2,0,1
