player,team,stat_category,game_id,rec,yds,avg,td,long,tgts
Jerry Jeudy,CLE,receiving,401772829,5,66,13.2,0,25,8
Dylan Sampson,CLE,receiving,401772829,8,64,8.0,0,14,8
Harold Fannin Jr.,CLE,receiving,401772829,7,63,9.0,0,22,9
Cedric Tillman,CLE,receiving,401772829,5,52,10.4,1,25,8
David Njoku,CLE,receiving,401772829,3,37,12.3,0,17,6
Jamari Thrash,CLE,receiving,401772829,1,6,6.0,0,6,1
Isaiah Bond,CLE,receiving,401772829,1,5,5.0,0,5,1
Jerome Ford,CLE,receiving,401772829,1,-3,-3.0,0,-3,1
