player,team,stat_category,game_id,car,yds,avg,td,long
Jalen Hurts,PHI,rushing,401772510,14,62,4.4,2,15
Saquon Barkley,PHI,rushing,401772510,18,60,3.3,1,16
Will Shipley,PHI,rushing,401772510,3,26,8.7,0,20
AJ Dillon,PHI,rushing,401772510,3,10,3.3,0,9
