player,stat_type,game_id,c_att,yds,avg,td,int,sacks,rtg,,car,long,no,tb,in 20
Joe Milton III,rushing,401773020,17/29,143,4.9,1,1,1-8,68.6,,,,,,
Will Grier,rushing,401773020,2/3,14,4.7,0,0,0-0,77.1,,,,,,
Malik Davis,rushing,401773020,,63,9.0,0,,,,,7,16,,,
Phil Mafah,rushing,401773020,,36,3.6,0,,,,,10,8,,,
Joe Milton III,rushing,401773020,,22,4.4,0,,,,,5,8,,,
Will Grier,rushing,401773020,,12,6.0,1,,,,,2,8,,,
Deuce Vaughn,rushing,401773020,,11,5.5,0,,,,,2,8,,,
Jalen Cropper,rushing,401773020,,4,4.0,0,,,,,1,4,,,
Israel Mukuamu,rushing,401773020,,0,,0,1,,,,,,,,
Jalen Cropper,rushing,401773020,,62,31.0,0,,,,,,35,2,,
Josh Kelly,rushing,401773020,,37,18.5,0,,,,,,20,2,,
Jalen Tolbert,rushing,401773020,,24,24.0,0,,,,,,24,1,,
Bryan Anger,rushing,401773020,,146,48.7,,,,,,,54,3,0,1
