player,team,stat_category,game_id,car,yds,avg,td,long
Dylan Sampson,CLE,rushing,401772829,12,29,2.4,0,5
Jerome Ford,CLE,rushing,401772829,6,8,1.3,0,2
Joe Flacco,CLE,rushing,401772829,2,6,3.0,0,4
Raheim Sanders,CLE,rushing,401772829,3,3,1.0,1,2
Harold Fannin Jr.,CLE,rushing,401772829,1,3,3.0,0,3
