player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
John Metchie III,receiving,401773012,5,45,9.0,0,18,8,,
Braxton Berrios,receiving,401773012,3,33,11.0,1,14,3,,
Jaylin Noel,receiving,401773012,2,16,8.0,0,9,2,,
Xavier Hutchinson,receiving,401773012,2,14,7.0,0,9,2,,
Brevin Jordan,receiving,401773012,2,11,5.5,0,6,2,,
Cade Stover,receiving,401773012,1,9,9.0,0,9,2,,
Jayden Higgins,receiving,401773012,2,8,4.0,0,4,2,,
J.J. Taylor,receiving,401773012,2,7,3.5,0,4,2,,
British Brooks,receiving,401773012,1,3,3.0,0,3,1,,
Luke Lachey,receiving,401773012,2,2,1.0,0,2,3,,
Jakob Johnson,receiving,401773012,0,0,0.0,0,0,1,,
Quintez Cephus,receiving,401773012,0,0,0.0,0,0,1,,
Xavier Johnson,receiving,401773012,0,0,0.0,0,0,1,,
Daniel Jackson,receiving,401773012,0,0,0.0,0,0,1,,
Jawhar Jordan,receiving,401773012,0,,,,,,1,0
Tremon Smith,receiving,401773012,1,,,,,,0,0
K.C. Ossai,receiving,401773012,1,,,,,,0,0
