player,stat_type,game_id,rec,yds,avg,td,long,tgts,fum,lost
Traeshon Holden,receiving,401773020,2,42,21.0,0,35,2,,
Jalen Brooks,receiving,401773020,2,26,13.0,0,16,3,,
Ryan Flournoy,receiving,401773020,1,20,20.0,0,20,5,,
Josh Kelly,receiving,401773020,1,19,19.0,0,19,3,,
Rivaldo Fairweather,receiving,401773020,3,18,6.0,1,7,3,,
Phil Mafah,receiving,401773020,2,15,7.5,0,11,2,,
Jalen Cropper,receiving,401773020,2,6,3.0,0,4,3,,
Tyler Neville,receiving,401773020,2,6,3.0,0,3,2,,
Malik Davis,receiving,401773020,1,3,3.0,0,3,1,,
Deuce Vaughn,receiving,401773020,1,2,2.0,0,2,2,,
Luke Schoonmaker,receiving,401773020,1,1,1.0,0,1,3,,
Jonathan Mingo,receiving,401773020,0,0,0.0,0,0,1,,
Jalen Tolbert,receiving,401773020,1,-1,-1.0,0,-1,2,,
Brennan Presley,receiving,401773020,1,,,,,,1,0
