player,team,stat_category,game_id,car,yds,avg,td,long
Ashton Jeanty,DAL,vegas rushing,401772720,19,38,2.0,1,9
Geno Smith,DAL,vegas rushing,401772720,2,10,5.0,0,11
Zamir White,DAL,vegas rushing,401772720,3,8,2.7,0,5
