player,team,stat_category,game_id,car,yds,avg,td,long
Craig Reynolds,DET,rushing,401772971,10,38,3.8,1,13
Jabari Small,DET,rushing,401772971,11,35,3.2,0,6
Hendon Hooker,DET,rushing,401772971,3,9,3.0,0,4
Jacob Saylors,DET,rushing,401772971,2,6,3.0,0,4
Kyle Allen,DET,rushing,401772971,2,5,2.5,0,3
