player,team,stat_category,game_id,no,yds,avg,long,td
Jakobie Keeney-James,DET,kick returns,401772971,3,73,24.3,29,0
Grant Stuard,DET,kick returns,401772971,2,62,31.0,36,0
Dominic Lovett,DET,kick returns,401772971,1,22,22.0,22,0
